income_id,prospectus_id,company_id,income_detail_id,sales_type,provider_type,sales_freq,times_refill,provider_amount,provider_total,detail_1,detail_2,detail_3,detail_4,detail_5,detail_6,detail_7,sales_total,profit_before_costs,operative_costs,cost_rent,cost_water,cost_electricity,cost_gas,cost_phone,cost_taxes,cost_transport,cost_maintenance,cost_accountant,cost_employees,cost_other,profil_after_costs
1,1,1,0,C,C,1,1,NULL,80000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200000.00,120000.00,1200.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118800.00
1,15,1,0,C,C,1,1,NULL,3500.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000.00,500.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500.00
1,16,1,0,M,C,4,2,NULL,8000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13600.00,5600.00,650.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4950.00
1,18,1,0,C,C,1,3,NULL,20000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100000.00,80000.00,48480.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31520.00
1,53,1,0,A,C,2,1,NULL,4500.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9000.00,4500.00,400.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4100.00
1,56,1,0,C,C,30,4,NULL,8000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5400.00,13600.00,400.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13200.00
1,78,1,0,C,C,30,4,NULL,8000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4500.00,10000.00,1700.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8300.00
1,118,1,0,C,C,30,0,NULL,0.00,400.00,400.00,400.00,400.00,500.00,600.00,0.00,10800.00,10800.00,4700.00,3000.00,500.00,NULL,NULL,100.00,0.00,800.00,300.00,0.00,0.00,0.00,6100.00
1,133,1,0,C,C,1,4,10000.00,40000.00,68000.00,NULL,NULL,NULL,NULL,NULL,NULL,68000.00,28000.00,6180.00,NULL,NULL,NULL,NULL,340.00,NULL,NULL,500.00,NULL,4000.00,1340.00,21820.00
1,153,1,0,C,C,30,7,NULL,9656.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6700.00,17144.00,3800.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13344.00
1,171,1,0,C,C,30,30,NULL,80000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30000.00,40000.00,4700.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35300.00
1,198,1,0,C,C,30,0,NULL,0.00,1600.00,800.00,1600.00,1600.00,1600.00,1400.00,1400.00,40000.00,40000.00,500.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500.00,NULL,0.00,NULL,39500.00
1,200,1,0,C,C,30,1,NULL,12000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4800.00,7200.00,800.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6400.00
1,219,1,0,M,C,1,15,32000.00,480000.00,600000.00,NULL,NULL,NULL,NULL,NULL,NULL,600000.00,120000.00,26250.00,0.00,2800.00,NULL,NULL,3200.00,3000.00,900.00,450.00,3900.00,12000.00,0.00,93750.00
1,225,1,0,C,M,1,4,2000.00,8000.00,24000.00,NULL,NULL,NULL,NULL,NULL,NULL,24000.00,16000.00,210.00,0.00,0.00,NULL,NULL,0.00,60.00,0.00,150.00,0.00,0.00,0.00,15790.00
1,233,1,0,C,C,4,20,NULL,6000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12000.00,6000.00,500.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5500.00
1,240,1,0,C,C,30,20,NULL,40000.00,4000.00,3000.00,3000.00,3000.00,3000.00,5000.00,5000.00,104000.00,64000.00,10000.00,4000.00,1750.00,NULL,NULL,250.00,400.00,0.00,500.00,300.00,2800.00,0.00,54000.00
1,241,1,0,C,C,30,30,6000.00,60000.00,270000.00,NULL,NULL,NULL,NULL,NULL,NULL,34000.00,76000.00,16600.00,7000.00,6000.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3600.00,NULL,59400.00
1,244,1,0,C,C,1,20,15000.00,300000.00,392000.00,NULL,NULL,NULL,NULL,NULL,NULL,392000.00,92000.00,8890.00,0.00,160.00,NULL,NULL,70.00,0.00,3600.00,0.00,0.00,4800.00,260.00,83110.00
1,245,1,0,C,C,30,30,NULL,160000.00,7000.00,7000.00,8000.00,8000.00,9000.00,10000.00,12000.00,244000.00,84000.00,4100.00,NULL,1000.00,NULL,NULL,400.00,NULL,700.00,NULL,NULL,2000.00,NULL,79900.00
1,258,1,0,C,C,30,20,NULL,18000.00,800.00,700.00,700.00,1300.00,500.00,1500.00,1800.00,29200.00,11200.00,3600.00,1500.00,300.00,NULL,NULL,NULL,NULL,200.00,NULL,NULL,1600.00,NULL,7600.00
1,259,1,0,C,C,30,4,NULL,16000.00,0.00,1000.00,2300.00,1000.00,1000.00,1100.00,1000.00,29600.00,13600.00,1200.00,NULL,NULL,NULL,NULL,NULL,NULL,1200.00,NULL,NULL,NULL,NULL,12400.00
1,265,1,0,C,C,4,3,NULL,4000.00,2400.00,2750.00,2300.00,3100.00,NULL,NULL,NULL,10550.00,6550.00,800.00,NULL,100.00,NULL,NULL,NULL,NULL,200.00,NULL,NULL,NULL,500.00,5750.00
1,269,1,0,C,C,30,24,NULL,34000.00,1200.00,1400.00,1400.00,1200.00,1900.00,1900.00,2000.00,11000.00,10000.00,650.00,0.00,200.00,NULL,NULL,150.00,NULL,300.00,NULL,NULL,NULL,NULL,9350.00
1,272,1,0,C,C,30,4,NULL,9000.00,800.00,900.00,900.00,800.00,1000.00,1000.00,900.00,25200.00,16200.00,1235.00,1000.00,65.00,NULL,NULL,120.00,NULL,50.00,NULL,NULL,0.00,NULL,14965.00
1,275,1,0,C,C,1,20,NULL,30000.00,70000.00,NULL,NULL,NULL,NULL,NULL,NULL,70000.00,40000.00,825.00,0.00,75.00,NULL,NULL,400.00,100.00,0.00,150.00,100.00,0.00,0.00,39175.00
1,280,1,0,C,C,30,8,NULL,7760.00,600.00,401.00,347.00,458.00,631.00,728.00,NULL,12660.00,4900.00,750.00,0.00,0.00,NULL,NULL,0.00,0.00,NULL,100.00,150.00,0.00,500.00,4150.00
1,281,1,0,C,C,30,20,NULL,140000.00,5000.00,5000.00,5000.00,5000.00,7000.00,8000.00,8000.00,53000.00,72000.00,23000.00,7700.00,2500.00,NULL,NULL,300.00,100.00,3200.00,400.00,0.00,8800.00,0.00,49000.00
1,284,1,0,C,C,1,NULL,NULL,NULL,5000.00,NULL,NULL,NULL,NULL,NULL,NULL,5000.00,5000.00,0.00,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5000.00
1,289,1,0,C,C,30,28,NULL,18200.00,1200.00,1200.00,1200.00,1200.00,700.00,700.00,1200.00,29600.00,11400.00,0.00,0.00,0.00,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11400.00
1,290,1,0,C,C,30,1,NULL,1200.00,180.00,200.00,200.00,180.00,200.00,180.00,180.00,5280.00,4080.00,1860.00,0.00,1200.00,NULL,NULL,460.00,0.00,0.00,200.00,0.00,0.00,NULL,2220.00
