CreditoID,FechaCorte,SalCapVigente,SalCapAtrasado,SalCapVencido,SalCapVenNoExi,SalIntOrdinario,SalIntAtrasado,SalIntVencido,SalIntProvision,SalIntNoConta,SalMoratorios,SalComFaltaPago,SalOtrasComisi,SalIVAInteres,SalIVAMoratorios,SalIVAComFalPago,SalIVAComisi,PasoCapAtraDia,PasoCapVenDia,PasoCapVNEDia,PasoIntAtraDia,PasoIntVenDia,CapRegularizado,IntOrdDevengado,IntMorDevengado,ComisiDevengado,PagoCapVigDia,PagoCapAtrDia,PagoCapVenDia,PagoCapVenNexDia,PagoIntOrdDia,PagoIntVenDia,PagoIntAtrDia,PagoIntCalNoCon,PagoComisiDia,PagoMoratorios,PagoIvaDia,IntCondonadoDia,MorCondonadoDia,DiasAtraso,NoCuotasAtraso,MaximoDiasAtraso,LineaCreditoID,ClienteID,MonedaID,FechaInicio,FechaVencimiento,FechaExigible,FechaLiquida,ProductoCreditoID,EstatusCredito,SaldoPromedio,MontoCredito,FrecuenciaCap,PeriodicidadCap,FrecuenciaInt,PeriodicidadInt,NumAmortizacion,FechTraspasVenc,FechAutoriza,ClasifRegID,Calificacion,PorcReserva,EmpresaID,Usuario,FechaActual,DireccionIP,ProgramaID,Sucursal,NumTransaccion
100000067,2015-01-19,0.00,0.00,9842.79,0.00,0.00,0.00,1327.18,0.00,256.33,9861.19,775.86,0.00,1481.13,22.30,82.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,424,6,362,0,7,1,2012-10-22,2014-04-22,1900-01-01,1900-01-01,1300,B,9842.79,22500.00,M,30,M,30,18,2014-02-19,2012-10-22,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100000661,2015-01-19,0.00,0.00,6113.78,0.00,0.00,0.00,760.67,0.00,524.53,4509.17,689.60,0.00,560.27,33.92,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396,9,364,0,63,1,2013-02-20,2014-08-20,1900-01-01,1900-01-01,1300,B,6113.78,10000.00,M,30,M,30,18,2014-03-19,2013-01-02,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100000954,2015-01-19,0.00,0.00,3940.41,0.00,0.00,0.00,111.63,0.00,0.00,3519.00,129.31,0.00,1251.82,47.42,82.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330,2,329,0,84,1,2013-03-22,2014-03-22,1900-01-01,1900-01-01,1100,B,3940.41,25000.00,M,30,M,30,12,2014-05-26,2013-01-31,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100000989,2015-01-19,0.00,0.00,13010.15,0.00,0.00,0.00,808.17,0.00,0.00,17843.49,646.55,0.00,953.40,7.74,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498,5,0,0,88,1,2013-03-25,2013-11-04,1900-01-01,1900-01-01,1100,B,13010.15,36750.00,C,14,C,14,16,2013-12-09,2013-02-14,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001195,2015-01-19,0.00,0.00,9676.56,0.00,0.00,0.00,724.95,0.00,68.75,11705.76,775.86,0.00,461.88,448.00,103.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,501,7,0,0,16,1,2013-04-19,2013-11-29,1900-01-01,1900-01-01,1100,B,9676.56,20000.00,C,14,C,14,16,2013-11-06,2013-04-17,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001349,2015-01-19,0.00,0.00,14100.81,0.00,0.00,0.00,1559.35,0.00,238.28,16013.19,1422.41,0.00,730.05,6.94,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,462,11,363,0,117,1,2013-04-30,2014-03-04,1900-01-01,1900-01-01,1100,B,14100.81,25000.00,C,14,C,14,22,2014-01-13,2013-04-29,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001616,2015-01-19,0.00,0.00,10628.42,0.00,0.00,0.00,815.02,0.00,1547.61,9265.61,1034.40,0.00,742.74,321.66,200.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398,14,355,0,39,1,2013-05-22,2014-06-18,1900-01-01,1900-01-01,1300,B,10628.42,18876.76,C,14,C,14,28,2013-12-10,2013-05-22,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001624,2015-01-19,0.00,0.00,17176.40,0.00,0.00,0.00,2371.76,0.00,2082.42,8826.71,2586.20,0.00,1284.47,1.16,20.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337,20,336,0,135,1,2013-05-24,2014-11-30,1900-01-01,1900-01-01,1300,B,17176.40,25000.00,Q,15,Q,15,36,2014-05-19,2013-05-23,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001632,2015-01-19,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,456.15,8.46,41.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228,1,246,0,136,1,2013-05-24,2014-10-10,1900-01-01,1900-01-01,1200,B,10.00,15000.00,C,14,C,14,36,2014-07-28,2013-05-23,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
100001659,2015-01-19,0.00,0.00,24241.64,0.00,0.00,0.00,1479.59,0.00,3206.19,25310.21,1810.34,0.00,894.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475,16,362,0,64,1,2013-05-29,2014-04-30,1900-01-01,1900-01-01,1100,B,24241.64,35000.00,C,14,C,14,24,2013-12-30,2013-05-24,41120,E,100.00,1,17,"2015-01-20 10:38:46",192.168.30.2,CARTERACIEDIAPRO,1,412736
